stage,label,url
1,Integration,https://mediaexchange.accenture.com/media/t/1_afmwcxjd
1,Introduction to Messaging,https://mediaexchange.accenture.com/media/t/1_1736g10d
1,Demo on Messaging,https://mediaexchange.accenture.com/media/t/1_211ojcr0
2,Messaging Payloads, Gosu Templates & XML Models,https://mediaexchange.accenture.com/media/t/1_09jy2enc
2,Publish Soap webservice,https://mediaexchange.accenture.com/media/t/1_9bwuco18
2,Messaging Triggering,https://mediaexchange.accenture.com/media/t/1_dwlccnx9
2,Sending Messages,https://mediaexchange.accenture.com/media/t/1_xibpgtep
2,Acknowledging Messages,https://mediaexchange.accenture.com/media/t/1_zr2q7n87
2,Batch Processes and WorkQueue,https://mediaexchange.accenture.com/media/t/1_ap7nzyd9
3,Guidewire Architecture,https://wd103.myworkday.com
3,Performance Optimization,https://wd103.myworkday.com
