stage,label,url
1,Linux fundamentals,https://wd103.myworkday.com/accenture/learning/course/95d0bfdb5b8d100168b359cc98850000?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
1,Git,https://wd103.myworkday.com/accenture/learning/course/8fdaf669dfdb1024288aeb705ee50004?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
1,Bash scripting,https://wd103.myworkday.com/accenture/learning/course/4fb6d7f3b9931018da9e21d0b4ae0005?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
1,Docker basics,https://wd103.myworkday.com/accenture/learning/course/8fdaf669dfdb1024288059cf61570001?type=9882927d138b100019b928e75843018d&record=f1519077179410018a54c130531b0000&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
1,Ansible,https://wd103.myworkday.com/accenture/learning/course/af33c4d8163710144ed9f03330550000?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
2,Kubernetes,https://wd103.myworkday.com/accenture/learning/course/b0505bd9124d100066dc0776a5340000?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
2,Terraform,https://wd103.myworkday.com/accenture/learning/course/7bf8931a347d1002128a89a2aef40001?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
2,Jenkins,https://wd103.myworkday.com/accenture/learning/course/95d0bfdb5b8d100168b298b58f170000?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
2,GitHub Actions,https://wd103.myworkday.com/accenture/learning/course/8fdaf669dfdb1024288665377f7e0002?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
3,Platform Engineering,https://wd103.myworkday.com/accenture/learning/course/8fdaf669dfdb10242889592f409c0005?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
3,GitOps,https://wd103.myworkday.com/accenture/learning/course/8fdaf669dfdb1024288947bec0b70001?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
3,Azure Cloud / AWS Cloud,https://wd103.myworkday.com/accenture/learning/course/f89dfe0bd95c10014f823bb540340000?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning%2Fdiscover
